hour,Coal_MW,Nuclear_MW,NGCC_MW,NGCT_MW,NGCC_with_CCS_MW,Hydro_MW,Onshore_Wind_MW,Solar_MW,Battery_discharge_MW,Battery_charge_MW,Battery_SOC_MWh,NSE_MW,Load_MW
1,0.0,9142.15,0.0,0.0,0.0,4119.33,17652.19,0.0,326.33,0.0,40962.83,0.0,31240
2,0.0,4295.07,0.0,0.0,0.0,4631.54,18597.64,0.0,3049.74,0.0,37647.89,0.0,30574
3,0.0,5591.85,0.0,0.0,0.0,4087.87,19576.27,0.0,0.0,0.0,37647.89,0.0,29256
4,0.0,6093.61,0.0,0.0,0.0,4122.75,18597.64,0.0,0.0,0.0,37647.89,0.0,28814
5,0.0,1246.53,0.0,0.0,0.0,4152.79,18597.64,0.0,4821.04,0.0,32407.63,0.0,28818
6,0.0,6093.61,0.0,0.0,0.0,4127.21,17652.19,0.0,1160.0,0.0,31146.76,0.0,29033
7,0.0,7420.98,0.0,0.0,0.0,4388.83,17652.19,0.0,0.0,0.0,31146.76,0.0,29462
8,0.0,2573.9,0.0,0.0,0.0,4259.88,16739.33,0.0,6218.9,0.0,24387.1,0.0,29792
9,0.0,7420.98,0.0,0.0,0.0,3834.04,16739.33,165.46,2439.19,0.0,21735.8,0.0,30599
10,0.0,4847.08,0.0,0.0,0.0,4585.08,16739.33,2077.8,3724.71,0.0,17687.2,0.0,31974
11,0.0,0.0,0.0,0.0,0.0,5144.79,16739.33,694.12,11159.76,0.0,5557.03,0.0,33738
12,0.0,0.0,0.0,0.0,0.0,4649.83,20588.64,4389.06,5112.46,0.0,0.0,0.0,34740
13,0.0,2628.83,0.0,0.0,0.0,4442.96,24986.99,3972.23,0.0,0.0,0.0,0.0,36031
14,0.0,0.0,0.0,0.0,0.0,4689.0,26393.67,4764.33,0.0,0.0,0.0,0.0,35847
15,0.0,0.0,0.0,0.0,0.0,4376.67,31237.25,60.09,0.0,0.0,0.0,0.0,35674
16,0.0,0.0,0.0,0.0,0.0,4152.25,31867.75,0.0,0.0,0.0,0.0,0.0,36020
17,0.0,0.0,0.0,0.0,0.0,4743.42,32469.7,234.89,0.0,0.0,0.0,0.0,37448
18,0.0,0.0,0.0,0.0,0.0,4858.46,34252.54,0.0,0.0,0.0,0.0,0.0,39111
19,0.0,0.0,0.0,0.0,0.0,4941.58,33306.42,0.0,0.0,0.0,0.0,0.0,38248
20,0.0,0.0,0.0,0.0,0.0,4661.5,44950.51,0.0,0.0,11950.01,10994.01,0.0,37662
21,0.0,0.0,0.0,0.0,0.0,287.5,36650.5,0.0,0.0,0.0,10994.01,0.0,36938
22,0.0,0.0,0.0,0.0,0.0,4645.0,30900.0,0.0,0.0,0.0,10994.01,0.0,35545
23,0.0,0.0,0.0,0.0,0.0,4297.67,40067.51,0.0,0.0,10195.17,20373.57,0.0,34170
24,0.0,0.0,0.0,0.0,0.0,0.0,32693.0,0.0,0.0,0.0,20373.57,0.0,32693
25,0.0,0.0,0.0,0.0,0.0,3999.0,44950.51,0.0,0.0,17026.51,36037.95,0.0,31923
26,0.0,0.0,0.0,0.0,0.0,4583.04,44950.51,0.0,0.0,18309.55,52882.74,0.0,31224
27,0.0,0.0,0.0,0.0,0.0,4587.25,26133.75,0.0,0.0,0.0,52882.74,0.0,30721
28,0.0,0.0,0.0,0.0,0.0,4937.87,40212.19,0.0,0.0,14489.07,66212.68,0.0,30661
29,0.0,0.0,0.0,0.0,0.0,563.87,30185.13,0.0,0.0,0.0,66212.68,0.0,30749
30,0.0,0.0,0.0,0.0,0.0,4844.83,34056.36,0.0,0.0,7589.19,73194.73,0.0,31312
31,0.0,0.0,0.0,0.0,0.0,4890.58,27198.42,0.0,0.0,0.0,73194.73,0.0,32089
32,0.0,0.0,0.0,0.0,0.0,5103.21,28609.79,0.0,0.0,0.0,73194.73,0.0,33713
33,0.0,0.0,0.0,0.0,0.0,4700.63,25867.05,4238.33,0.0,0.0,73194.73,0.0,34806
34,0.0,0.0,0.0,0.0,0.0,4158.71,23833.93,15802.39,0.0,7397.03,80000.0,0.0,36398
35,0.0,0.0,0.0,0.0,0.0,4267.63,20588.64,12854.73,0.0,0.0,80000.0,0.0,37711
36,0.0,0.0,0.0,0.0,0.0,4393.88,18597.64,15701.48,0.0,0.0,80000.0,0.0,38693
37,0.0,0.0,0.0,0.0,0.0,4834.33,5461.4,28750.26,0.0,0.0,80000.0,0.0,39046
38,0.0,0.0,0.0,0.0,0.0,4620.25,7189.52,27545.23,0.0,0.0,80000.0,0.0,39355
39,0.0,0.0,0.0,0.0,0.0,4627.58,11748.56,22706.85,0.0,0.0,80000.0,0.0,39083
40,0.0,4847.08,0.0,0.0,0.0,4631.5,14190.63,14452.59,1469.2,0.0,78403.04,0.0,39591
41,0.0,9694.16,0.0,0.0,0.0,4726.58,14190.63,2854.58,9672.05,0.0,67889.94,0.0,41138
42,0.0,14541.24,0.0,0.0,0.0,4583.12,14190.63,0.0,10335.01,0.0,56656.23,0.0,43650
43,0.0,13144.0,0.0,0.0,0.0,4585.38,14190.63,0.0,11288.0,0.0,44386.66,0.0,43208
44,0.0,17991.08,0.0,0.0,0.0,4520.88,13402.44,0.0,6188.6,0.0,37659.92,0.0,42103
45,0.0,13144.0,0.0,0.0,0.0,4691.87,11914.72,0.0,11353.4,0.0,25319.27,0.0,41104
46,0.0,17991.08,0.0,0.0,0.0,4436.29,9896.18,0.0,7876.45,0.0,16757.91,0.0,40200
47,0.0,19388.31,0.0,0.0,0.0,4842.04,8685.83,0.0,5663.81,0.0,10601.59,0.0,38580
48,0.0,19388.31,0.0,0.0,0.0,4694.42,9277.85,0.0,3358.42,0.0,6951.14,0.0,36719
49,0.0,17894.97,0.0,0.0,0.0,4646.46,11214.04,0.0,1629.53,0.0,5179.91,0.0,35385
50,0.0,13047.89,0.0,0.0,0.0,5142.79,12644.0,0.0,3835.32,0.0,1011.08,0.0,34670
51,0.0,13144.0,0.0,0.0,0.0,5009.54,15858.5,0.0,558.96,0.0,403.52,0.0,34571
52,0.0,9370.98,0.0,0.0,0.0,4457.38,20588.64,0.0,0.0,0.0,403.52,0.0,34417
53,0.0,4523.9,0.0,0.0,0.0,4852.88,24986.99,0.0,371.23,0.0,0.0,0.0,34735
54,0.0,2692.56,0.0,0.0,0.0,4207.37,28668.06,0.0,0.0,0.0,0.0,0.0,35568
55,0.0,0.0,0.0,0.0,0.0,4274.33,33286.67,0.0,0.0,0.0,0.0,0.0,37561
56,0.0,0.0,0.0,0.0,0.0,254.81,40212.19,0.0,0.0,0.0,0.0,0.0,40467
57,0.0,0.0,0.0,0.0,0.0,4539.54,43515.71,512.72,0.0,6999.98,6439.98,0.0,41568
58,0.0,0.0,0.0,0.0,0.0,4666.25,44950.51,187.3,0.0,7623.06,13453.19,0.0,42181
59,0.0,0.0,0.0,0.0,0.0,4374.0,21089.55,4398.51,12376.94,0.0,0.0,0.0,42239
60,0.0,0.0,0.0,0.0,0.0,0.0,40067.51,1714.49,0.0,0.0,0.0,0.0,41782
61,0.0,0.0,0.0,0.0,0.0,4374.0,36578.0,0.0,0.0,0.0,0.0,0.0,40952
62,0.0,0.0,0.0,0.0,0.0,0.0,40067.51,874.49,0.0,0.0,0.0,0.0,40942
63,0.0,0.0,0.0,0.0,0.0,160.5,44950.51,12585.6,0.0,16818.61,15473.12,0.0,40878
64,0.0,0.0,0.0,0.0,0.0,4534.5,24739.42,12633.08,0.0,0.0,15473.12,0.0,41907
65,0.0,0.0,0.0,0.0,0.0,160.5,43725.8,33.7,0.0,0.0,15473.12,0.0,43920
66,0.0,0.0,0.0,0.0,0.0,4515.49,41736.51,0.0,0.0,0.0,15473.12,0.0,46252
67,0.0,0.0,0.0,0.0,0.0,141.49,44950.51,0.0,0.0,0.0,15473.12,0.0,45092
68,0.0,0.0,0.0,0.0,0.0,3460.49,40067.51,0.0,0.0,0.0,15473.12,0.0,43528
69,0.0,0.0,0.0,0.0,0.0,4099.54,44950.51,0.0,0.0,6779.05,21709.84,0.0,42271
70,0.0,0.0,0.0,0.0,0.0,3997.04,44950.51,0.0,0.0,8171.55,29227.67,0.0,40776
71,0.0,0.0,0.0,0.0,0.0,3954.96,43515.71,0.0,0.0,9118.67,37616.84,0.0,38352
72,0.0,0.0,0.0,0.0,0.0,4029.0,32371.0,0.0,0.0,0.0,37616.84,0.0,36400
73,0.0,0.0,0.0,0.0,0.0,3889.62,43515.71,0.0,0.0,11554.34,48246.84,0.0,35851
74,0.0,0.0,0.0,0.0,0.0,3918.29,44950.51,0.0,0.0,14408.8,61502.93,0.0,34460
75,0.0,0.0,0.0,0.0,0.0,0.0,33718.0,0.0,0.0,0.0,61502.93,0.0,33718
76,0.0,0.0,0.0,0.0,0.0,4119.12,44950.51,0.0,0.0,15162.63,75452.55,0.0,33907
77,0.0,0.0,0.0,0.0,0.0,0.0,33962.0,0.0,0.0,0.0,75452.55,0.0,33962
78,0.0,0.0,0.0,0.0,0.0,4091.0,36382.88,0.0,0.0,4942.88,80000.0,0.0,35531
79,0.0,0.0,0.0,0.0,0.0,0.0,37911.0,0.0,0.0,0.0,80000.0,0.0,37911
80,0.0,0.0,0.0,0.0,0.0,4025.21,35883.79,0.0,0.0,0.0,80000.0,0.0,39909
81,0.0,0.0,0.0,0.0,0.0,885.21,40067.51,54.29,0.0,0.0,80000.0,0.0,41007
82,0.0,0.0,0.0,0.0,0.0,3941.83,37123.84,17.33,0.0,0.0,80000.0,0.0,41083
83,0.0,0.0,0.0,0.0,0.0,4249.79,32584.29,3960.92,0.0,0.0,80000.0,0.0,40795
84,0.0,0.0,0.0,0.0,0.0,4107.5,31312.75,1232.77,4037.98,0.0,75610.89,0.0,40691
85,0.0,0.0,0.0,0.0,0.0,4143.25,28668.06,9268.5,0.0,1381.82,76882.16,0.0,40698
